id,production_schedule_id,sequence,location_code,event_type,event_time,advertised_event_time
173808603,7507575,6,CHSRD,D,2020-12-22 20:54:30,2020-12-22 20:54:00
173808602,7507575,5,CHSRD,A,2020-12-22 20:54:00,2020-12-22 20:54:00
173808601,7507575,4,WYGN,D,2020-12-22 20:52:30,2020-12-22 20:52:00
173808600,7507575,3,WYGN,A,2020-12-22 20:52:00,2020-12-22 20:52:00
173808599,7507575,2,SUTCO,D,2020-12-22 20:50:00,2020-12-22 20:50:00
173808598,7507575,1,SUTCO,A,2020-12-22 20:49:00,2020-12-22 20:49:00
173808597,7507575,0,FOUROKS,D,2020-12-22 20:46:00,2020-12-22 20:46:00
173808672,7507576,37,FOUROKS,A,2020-12-22 22:11:00,2020-12-22 22:11:00
173808671,7507576,36,SUTCO,D,2020-12-22 22:08:00,2020-12-22 22:08:00
173808670,7507576,35,SUTCO,A,2020-12-22 22:07:00,2020-12-22 22:07:00
173808669,7507576,34,WYGN,D,2020-12-22 22:05:00,2020-12-22 22:05:00
173808668,7507576,33,WYGN,A,2020-12-22 22:04:30,2020-12-22 22:05:00
173808667,7507576,32,CHSRD,D,2020-12-22 22:03:00,2020-12-22 22:03:00
173808666,7507576,31,CHSRD,A,2020-12-22 22:02:30,2020-12-22 22:03:00
173808665,7507576,30,ERDNGTN,D,2020-12-22 22:01:00,2020-12-22 22:01:00
173808664,7507576,29,ERDNGTN,A,2020-12-22 22:00:00,2020-12-22 22:00:00
173808663,7507576,28,GRAVLYH,D,2020-12-22 21:58:00,2020-12-22 21:58:00
173808662,7507576,27,GRAVLYH,A,2020-12-22 21:57:30,2020-12-22 21:58:00
173808661,7507576,26,ASTON,D,2020-12-22 21:54:30,2020-12-22 21:54:00
173808660,7507576,25,ASTON,A,2020-12-22 21:53:30,2020-12-22 21:54:00
173808659,7507576,24,DUDESTN,D,2020-12-22 21:51:30,2020-12-22 21:51:00
173808658,7507576,23,DUDESTN,A,2020-12-22 21:51:00,2020-12-22 21:51:00
173808656,7507576,21,BHAMNWS,D,2020-12-22 21:47:00,2020-12-22 21:47:00
173808655,7507576,20,BHAMNWS,A,2020-12-22 21:40:00,2020-12-22 21:40:00
173808654,7507576,19,FIVEWYS,D,2020-12-22 21:37:00,2020-12-22 21:37:00
173808653,7507576,18,FIVEWYS,A,2020-12-22 21:36:00,2020-12-22 21:36:00
173808652,7507576,17,UNVRSYB,D,2020-12-22 21:33:00,2020-12-22 21:33:00
173808651,7507576,16,UNVRSYB,A,2020-12-22 21:32:00,2020-12-22 21:32:00
173808650,7507576,15,SELYOAK,D,2020-12-22 21:30:30,2020-12-22 21:30:00
173808649,7507576,14,SELYOAK,A,2020-12-22 21:29:30,2020-12-22 21:30:00
173808648,7507576,13,BOURNVL,D,2020-12-22 21:27:30,2020-12-22 21:27:00
173808647,7507576,12,BOURNVL,A,2020-12-22 21:27:00,2020-12-22 21:27:00
173808646,7507576,11,KNORTON,D,2020-12-22 21:25:00,2020-12-22 21:25:00
173808645,7507576,10,KNORTON,A,2020-12-22 21:24:00,2020-12-22 21:24:00
173808644,7507576,9,NRTF,D,2020-12-22 21:22:00,2020-12-22 21:22:00
173808643,7507576,8,NRTF,A,2020-12-22 21:21:30,2020-12-22 21:22:00
173808642,7507576,7,LONB,D,2020-12-22 21:20:00,2020-12-22 21:20:00
173808641,7507576,6,LONB,A,2020-12-22 21:19:00,2020-12-22 21:19:00
173808640,7507576,5,BGRN,D,2020-12-22 21:13:30,2020-12-22 21:12:00
173808639,7507576,4,BGRN,A,2020-12-22 21:12:00,2020-12-22 21:12:00
173808638,7507576,3,ALVCHRC,D,2020-12-22 21:07:30,2020-12-22 21:07:00
173808637,7507576,2,ALVCHRC,A,2020-12-22 21:07:00,2020-12-22 21:07:00
173808635,7507576,0,RDIT,D,2020-12-22 21:02:00,2020-12-22 21:02:00
173815020,7507857,1,STRBDG1,A,2020-12-22 21:53:00,2020-12-22 21:53:00
173815019,7507857,0,STRBDGT,D,2020-12-22 21:50:00,2020-12-22 21:50:00
173815026,7507860,1,STRBDGT,A,2020-12-22 21:58:00,2020-12-22 21:58:00
173815025,7507860,0,STRBDG1,D,2020-12-22 21:55:00,2020-12-22 21:55:00
173815036,7507865,1,STRBDG1,A,2020-12-22 22:03:00,2020-12-22 22:03:00
173815035,7507865,0,STRBDGT,D,2020-12-22 22:00:00,2020-12-22 22:00:00
173815042,7507868,1,STRBDGT,A,2020-12-22 22:08:00,2020-12-22 22:08:00
173815041,7507868,0,STRBDG1,D,2020-12-22 22:05:00,2020-12-22 22:05:00
173815073,7507872,24,NMPTN,A,2020-12-23 00:39:00,2020-12-23 00:39:00
173815071,7507872,22,WLVR,D,2020-12-23 00:25:30,2020-12-23 00:25:00
173815070,7507872,21,WLVR,A,2020-12-23 00:24:30,2020-12-23 00:25:00
